DNI,Apellidos,Nombre,Sexo,Salario,CP,Provincia
21919051M,Álvarez López,Angelines,M,1204.98€,8,Barcelona
39626019D,González Carro,Tamara,M,2318.99€,45,Toledo
99596739T,López Jesús,Leonor,M,2748.94€,46,Valencia
53282196M,Sillero Olmo,Victoria,M,1685.19€,28,Madrid
79380030S,Pozo Martínez,Esperanza,M,1973.15€,28,Madrid
59094660R,Rodríguez Menéndez,Agustín,H,768.59€,32,Ourense
72558024Q,Pérez García,Luisa,M,1486.21€,48,Vizcaya
27013471V,Roche Ruiz,Raquel Belén,M,2492.37€,41,Sevilla
33931031M,Díaz Tejeda,Bruno,H,2077.43€,47,Valladolid
44181077D,Aguado Martínez,Jerónimo,H,2217.9€,7,Gerona
24840296C,Ortiz Quintero,Araceli,M,1395.65€,18,Granada
11290773G,Gómez Castillo,Violeta,M,698.46€,6,Badajoz
92075854T,Briz Alarcón,Ana,M,1500.13€,38,Santa Cruz de Tenerife
90581937W,Torres Barrios,Angelines,M,1923.02€,11,Cádiz
78624606A,Rodríguez Suárez,Nieves,M,1343.54€,8,Barcelona
18550480Z,Garrido Calderón,Claudio,H,3063.2€,28,Madrid
12615081H,García Peiro,Ruth,M,795.14€,52,Melilla
45960331Y,García García,Begoña,M,1886.04€,43,Tarragona
99714360E,Arias López,Beatriz,M,2932.59€,29,Málaga
70490444K,Narbona Nieto,Henar,M,2434.08€,9,Burgos
69780784A,Serrato Plata,Santiago,H,2898.48€,28,Madrid
86954366Z,García Pérez,Raúl,H,1853.05€,46,Valencia
41105472X,López Ramírez,Cristina,M,2896.46€,23,Jaén
54787331C,Infantes Trigueros,Raúl,H,3081.69€,45,Toledo
72605735W,Fernández Riego,Julio José,H,1297.47€,28,Madrid
10396796Z,Martínez Solá,Olga,M,2340.72€,28,Madrid
75571423R,González García,Nicolette,M,2635.25€,31,Navarra
75692609T,San Juan Ibáñez,Adriano,H,865.19€,23,Jaén
68905310R,Pintos Sánchez,Julián,H,2427.39€,8,Barcelona
6015475D,León Santos,Cristina,M,2030.48€,8,Barcelona
44323165A,García Vilariño,Édgar,H,1592.4€,28,Madrid
7818083S,Castellví Delgado,Jerónimo,H,604.93€,19,Burgos
86957519Q,Picó Vargas,AiNMoa,M,2210.99€,15,La Coruña
45560435B,Martínez Romano,Laura,M,2516.01€,37,Salamanca
90698336K,Tudela Muriel,Gabriel,H,860.47€,3,Alicante
59785216M,González Gil,José Luis,H,2702.76€,43,Tarragona
52048452G,Ramírez López,Óscar,H,732.83€,2,Albacete
75353939M,de la Torre Pérez,María de la Gloria,M,2819.22€,8,Barcelona
99103808M,Calvente Paniagua,Erica,M,620.67€,28,Madrid
86150657V,Navarro Montero,Isidro,H,1994.39€,28,Madrid
58507537E,Salmerón Morato,María Jesús,M,1149.24€,1,Álava
35685824J,Escobedo Olaizola,Rebeca,M,3299.23€,8,Barcelona
20080062G,Saiz Gómez,Tatiana,M,770.29€,11,Cádiz
52133780W,Mena Rodríguez,Sara,M,3044.4€,14,Córdoba
80689086A,Calviño Pérez,Santiago,H,3074.03€,46,Valencia
51277129D,Mancilla Martín,Alexia,M,2570.56€,28,Madrid
32375479N,Alonso Rico,Paulo,H,3372.19€,28,Madrid
56160230A,Sánchez Sánchez,Mar,M,2600.55€,51,Ceuta
68563494B,Blasco Aguilera,Elena,M,2851.27€,15,La Coruña
42210800G,Barrio Mellado,Antonio,H,2818.82€,28,Madrid
72313125K,Vázquez Fernández,Fernando,H,1372.32€,46,Valencia
50098845S,Fito Sánchez,Ernestina,M,1712.99€,11,Cádiz
95163652W,Guerrero Sánchez,María Teresa,M,1328.23€,26,La Rioja
94279082N,Ruiz Duque,Rufina,M,3456.19€,29,Málaga
49502168G,Castro Hernández,David,H,1373.8€,14,Córdoba
66307496Z,Mari Herrera,AiNMoa,M,3092.46€,28,Madrid
4089047S,Rubio Salvador,Juan José,H,2975.46€,20,Guipúzcoa
1622961N,Olaya Calderón,Cándido,H,1393.78€,8,Barcelona
66090567K,López García,Nerea,M,2130.2€,23,Jaén
64216784W,Martín Ponce,Nuria,M,1632.87€,50,Zaragoza
45602104G,Flores Jiménez,Mónica,M,1465.09€,28,Madrid
52839762E,Romero Anguita,Pablo,H,2324.14€,23,Jaén
64275225T,Lao Ruiz,Tatiana,M,2825.97€,28,Madrid
47168712J,Sánchez Pereira,Naira,M,1654.96€,41,Sevilla
89558346A,Cuesta Dias,Tomás,H,1114.88€,8,Barcelona
74410912R,Guillén González,Sandra,M,2304.86€,21,Cádiz
43680328Q,Saiz Murillo,Julieta,M,3148.33€,50,Zaragoza
72590803C,Robles Martínez,Henar,M,3341.2€,28,Madrid
62493994G,Jodar García,Isabel,M,1932.18€,8,Barcelona
72352494Z,Román Sacristán,Narciso,H,2612.66€,30,Murcia
16484127G,Bedia Cancela,María Celia,M,622.98€,41,Sevilla
85324381Q,Pacheco Valderrama,Andrés,H,2026.15€,28,Madrid
74651618N,Rodríguez Gómez,Aurelio,H,1350.75€,6,Badajoz
24417131D,Morell Ruiz,Mayte,M,1297.53€,16,Cuenca
3818904F,Conde Martínez,María Victoria,M,684.64€,41,Sevilla
45039020Y,Fuster Pozo,Margarita,M,1482.22€,50,Zaragoza
80556549S,Funes Gallardo,Pablo,H,3142.92€,3,Alicante
70976471N,Ortega Jiménez,Jeniffer,M,3107.46€,8,Barcelona
